DATE,PRECIP,PET,FLOW_cumecs
21/05/1964,6.423473148,2.287684394,1.08
22/05/1964,5.295900316,2.401900641,1.13
23/05/1964,0.658880278,2.649037805,1.09
24/05/1964,0.741644788,2.566641957,1.08
25/05/1964,0.005891884,2.705165775,1.06
26/05/1964,0.001205094,2.711521468,1.04
27/05/1964,1.38475622960031e-05,2.648032752,1.04
28/05/1964,0.000350481,2.631483452,1.04
29/05/1964,0.384489504,2.721222661,1.02
30/05/1964,27.56649014,2.825600999,1.06
31/05/1964,10.21710541,2.709136883,1.21
01/06/1964,16.16643154,2.211854308,1.16
02/06/1964,0.471845357,2.070874344,1.18
03/06/1964,0.146605706,2.397427343,1.05
04/06/1964,2.360771542,2.584563665,1.05
05/06/1964,10.9176995,2.659838115,1.11
06/06/1964,8.682730241,2.569618103,1.26
07/06/1964,4.879938538,2.753853969,1.3
08/06/1964,0.006165277,2.611404425,1.25
09/06/1964,0.048418358,2.610954656,1.3
10/06/1964,0.00091478,2.83151986,1.31
11/06/1964,0.007057453,2.638147377,1.32
12/06/1964,11.00482032,2.903461472,1.37
13/06/1964,4.677184915,2.854435783,1.38
14/06/1964,1.0810379,2.672948059,1.41
15/06/1964,0.000516875,2.599829816,1.39
16/06/1964,0.000504015,2.616656329,1.37
17/06/1964,0.783902704,2.671462977,1.33
18/06/1964,0.202758643,2.651942309,1.33
19/06/1964,0.884023304,2.646784353,1.31
20/06/1964,0.843483156,2.236521273,1.28
21/06/1964,0.212720737,2.348336966,1.28
22/06/1964,0.001381035,2.528682017,1.28
23/06/1964,0.000852371,2.598846934,1.25
24/06/1964,6.34029739782009e-06,2.723261345,1.26
25/06/1964,0,2.870688628,1.23
26/06/1964,2.12814174204144e-05,3.059540862,1.21
27/06/1964,0.001906609,2.918644049,1.21
28/06/1964,0.019344134,2.982636632,1.19
29/06/1964,3.48800793969271e-05,2.808428604,1.18
30/06/1964,0,2.716208954,1.14
01/07/1964,0,2.847842017,1.11
02/07/1964,0.002708628,2.81809377,1.11
03/07/1964,0.058355349,2.654578435,1.1
04/07/1964,0.000765171,2.473951359,1.09
05/07/1964,0.011800308,2.542980054,1.08
06/07/1964,0,2.543971942,1.08
07/07/1964,3.932275699,2.47252882,1.09
08/07/1964,0.167590357,2.741481425,1.06
09/07/1964,2.242875016,2.538158657,1.05
10/07/1964,2.557205287,2.473039122,1.04
11/07/1964,5.743013042,2.693918945,1.03
12/07/1964,3.522592827,2.896046474,1.04
13/07/1964,0.00022052,2.69603572,1.02
14/07/1964,4.65460987,2.89800876,0.98
15/07/1964,0.009842252,2.988573141,0.949
16/07/1964,0.000870109,2.879805588,0.946
17/07/1964,0.073812323,3.06697239,0.932
18/07/1964,0.014223566,3.064214427,0.917
19/07/1964,9.5930515802856e-05,2.843449688,0.915
20/07/1964,0.030881398,2.704979658,0.915
21/07/1964,2.264952013,2.705324084,0.886
22/07/1964,2.049343478,2.773738137,0.889
23/07/1964,0.000569089,2.724578692,0.883
24/07/1964,5.02922376679917e-08,2.866776187,0.855
25/07/1964,0.001254003,2.757977937,0.852
26/07/1964,2.026372397,2.842949307,0.852
27/07/1964,0.006263915,2.692498913,0.852
28/07/1964,0.00802723,2.643427737,0.81
29/07/1964,0.074757761,2.516119397,0.799
30/07/1964,0.028927735,2.62485681,0.79
31/07/1964,8.45507553081264e-05,2.704187539,0.779
01/08/1964,0.000997268,2.637018587,0.759
02/08/1964,0.000395572,2.778978804,0.75
03/08/1964,0.000107977,2.72744161,0.75
04/08/1964,0,2.674188251,0.77
05/08/1964,0.018789376,2.851188671,0.762
06/08/1964,6.868840111,2.550840548,0.762
07/08/1964,1.076819265,2.271312956,0.748
08/08/1964,1.729159809,2.268364317,0.756
09/08/1964,1.641112401,2.184106962,0.742
10/08/1964,0.035380459,2.162697854,0.739
11/08/1964,0.266353522,2.370411526,0.728
12/08/1964,0.452513915,2.243328323,0.728
13/08/1964,0.002666249,2.277856421,0.733
14/08/1964,0.001907499,2.307316012,0.716
15/08/1964,4.228571619,2.345273498,0.714
16/08/1964,1.026457932,2.440480352,0.725
17/08/1964,2.287115456,2.425120763,0.733
18/08/1964,5.431288166,2.306609984,0.705
19/08/1964,0.015698656,2.055450222,0.685
20/08/1964,0.000816687,1.859322145,0.691
21/08/1964,0,1.912708911,0.677
22/08/1964,0,1.967179985,0.677
23/08/1964,1.861392627,2.00880554,0.677
24/08/1964,4.574389131,2.227473759,0.674
25/08/1964,0.023191605,2.316342921,0.64
26/08/1964,0.104624628,2.394978639,0.626
27/08/1964,0.001430181,2.222496427,0.62
28/08/1964,0.117748652,2.08387947,0.62
29/08/1964,0.002839869,1.821252493,0.62
30/08/1964,0.000216114,1.663019975,0.614
31/08/1964,0,1.791294828,0.6
01/09/1964,0.001495299,1.835344923,0.626
02/09/1964,0.035212579,1.944450525,0.626
03/09/1964,0.004173713,1.871183229,0.62
04/09/1964,0.00033802,1.947302967,0.62
05/09/1964,5.010306593,1.911818301,0.637
06/09/1964,0.001004906,1.810809329,0.626
07/09/1964,0.007464286,1.732800169,0.64
08/09/1964,0.015419668,1.755103056,0.62
09/09/1964,0.006264376,1.887000298,0.6
10/09/1964,0.004427376,1.934863943,0.592
11/09/1964,0.00361414,1.910563225,0.592
12/09/1964,0,1.580633214,0.592
13/09/1964,0.009091281,1.642644558,0.592
14/09/1964,6.882569431,1.761224667,0.592
15/09/1964,7.444346228,1.569294867,0.572
16/09/1964,1.0489862,1.506974352,0.566
17/09/1964,0.849231205,1.478048554,0.558
18/09/1964,0.098228636,1.400980554,0.527
19/09/1964,0.000188815,1.448937335,0.532
20/09/1964,0.016494329,1.345977757,0.518
21/09/1964,0.00118778,1.226411242,0.513
22/09/1964,0,1.474921768,0.513
23/09/1964,0,1.445308001,0.506
24/09/1964,0.000667166,1.515843947,0.493
25/09/1964,1.258642775,1.411862465,0.496
26/09/1964,0,1.407812034,0.496
27/09/1964,0,1.265068086,0.487
28/09/1964,0,1.212076277,0.487
29/09/1964,0,1.22057893,0.496
30/09/1964,0,1.221130588,0.487
01/10/1964,0,1.14725047,0.473
02/10/1964,0,1.094990007,0.473
03/10/1964,1.50437241742077e-05,1.141006404,0.473
04/10/1964,0.00045766,1.113686663,0.479
05/10/1964,13.24680452,1.076460551,0.496
06/10/1964,4.358830701,1.094529339,0.473
07/10/1964,1.919532374,1.122201625,0.506
08/10/1964,1.298245479,0.942098414,0.479
09/10/1964,4.938465633,0.787166692,0.45
10/10/1964,0.347755249,0.79418437,0.47
11/10/1964,0.885645777,0.755051009,0.473
12/10/1964,0.004806734,0.768477335,0.464
13/10/1964,0.119370328,0.734094223,0.47
14/10/1964,1.244390373,0.787946958,0.473
15/10/1964,6.99431292,0.744253374,0.479
16/10/1964,0.032605593,0.815270051,0.498
17/10/1964,7.92123812717284e-05,0.808135745,0.476
18/10/1964,0.023164363,0.745731784,0.473
19/10/1964,0.002896326,0.815377338,0.473
20/10/1964,0.06899534,0.766445699,0.496
21/10/1964,2.086698526,0.760120842,0.481
22/10/1964,1.847472332,0.683644168,0.481
23/10/1964,0.79189533,0.612797536,0.473
24/10/1964,0.021366039,0.558777419,0.47
25/10/1964,0.004199013,0.647994562,0.473
26/10/1964,5.01730249488551e-05,0.695510385,0.473
27/10/1964,0.016318416,0.702566078,0.45
28/10/1964,0.626628353,0.532922082,0.459
29/10/1964,0.770486308,0.555940684,0.45
30/10/1964,0.296816508,0.610902677,0.413
31/10/1964,0.002743093,0.605570097,0.45
01/11/1964,0.037206152,0.544135345,0.45
02/11/1964,0.104743846,0.499566099,0.45
03/11/1964,0.948631898,0.533768113,0.433
04/11/1964,0.002936409,0.539235033,0.425
05/11/1964,0,0.516066216,0.439
06/11/1964,0,0.539962145,0.43
07/11/1964,0.004245794,0.507858685,0.442
08/11/1964,0.008884216,0.462860535,0.45
09/11/1964,0.000158668,0.42937334,0.45
10/11/1964,0.000942814,0.428109524,0.425
11/11/1964,1.22343277,0.457824351,0.428
12/11/1964,1.611070881,0.480560696,0.43
13/11/1964,6.278454613,0.503159733,0.436
14/11/1964,3.115940351,0.518998738,0.436
15/11/1964,4.691195583,0.485480565,0.436
16/11/1964,3.997518689,0.47298867,0.45
17/11/1964,4.681636852,0.490083102,0.447
18/11/1964,0.037555286,0.516198089,0.453
19/11/1964,0.005268411,0.482517187,0.433
20/11/1964,0.001727946,0.445997166,0.45
21/11/1964,0.002913139,0.40947943,0.436
22/11/1964,0.013374706,0.416269757,0.439
23/11/1964,0.028030515,0.439577047,0.442
24/11/1964,0.002742141,0.420711512,0.439
25/11/1964,0.004028599,0.453589577,0.43
26/11/1964,2.375944489,0.41340295,0.413
27/11/1964,0.078010982,0.327576715,0.425
28/11/1964,7.398253997,0.298875141,0.433
29/11/1964,2.544693684,0.262851649,0.436
30/11/1964,3.47470495,0.254299774,0.408
01/12/1964,3.343238519,0.267329851,0.433
02/12/1964,1.699741706,0.290568867,0.43
03/12/1964,0.254357919,0.267103772,0.428
04/12/1964,0.497260333,0.255613724,0.419
05/12/1964,2.899723376,0.299367123,0.428
06/12/1964,2.661460777,0.339364396,0.425
07/12/1964,19.43908622,0.383400598,0.422
08/12/1964,4.989847356,0.360165725,0.476
09/12/1964,2.816015302,0.35403339,0.51
10/12/1964,0.24409665,0.322350274,0.487
11/12/1964,0.66045783,0.302857433,0.459
12/12/1964,16.45156413,0.317252213,0.473
13/12/1964,0.740798146,0.35811393,0.506
14/12/1964,0.000293556,0.248551156,0.532
15/12/1964,0.003067767,0.208987745,0.459
16/12/1964,0.627923267,0.183850995,0.453
17/12/1964,0.076847598,0.195273393,0.45
18/12/1964,0.003057465,0.231524535,0.45
19/12/1964,0.003300823,0.219157236,0.436
20/12/1964,1.036979965,0.239902924,0.436
21/12/1964,0.334178841,0.257252265,0.439
22/12/1964,0.029651986,0.238662671,0.442
23/12/1964,0.000727828,0.245055057,0.425
24/12/1964,0.016163907,0.245909874,0.433
25/12/1964,0.000739857,0.2021946,0.436
26/12/1964,8.232283829,0.174925713,0.413
27/12/1964,2.148484953,0.198818408,0.408
28/12/1964,1.373468179,0.186425668,0.419
29/12/1964,12.39021156,0.223713667,0.43
30/12/1964,10.46789077,0.300462239,0.583
31/12/1964,0.446188474,0.29639879,0.663
01/01/1965,0.404314348,0.281155887,0.541
02/01/1965,0.000501288,0.242890871,0.527
03/01/1965,0.000818354,0.212216334,0.49
04/01/1965,0.002325968,0.211392836,0.473
05/01/1965,0.008572684,0.229332947,0.484
06/01/1965,1.798206632,0.275087394,0.53
07/01/1965,3.324664499,0.347949875,0.558
08/01/1965,0.439200057,0.372896025,0.572
09/01/1965,1.980495819,0.331686268,0.566
10/01/1965,2.150310831,0.371900677,0.561
11/01/1965,0.403293668,0.400473826,0.583
12/01/1965,6.447130015,0.368410164,0.592
13/01/1965,13.74158907,0.354397342,0.674
14/01/1965,13.07373109,0.338101236,0.816
15/01/1965,6.514753422,0.339245113,0.903
16/01/1965,8.547214964,0.373655694,0.883
17/01/1965,5.692731064,0.359355207,1.03
18/01/1965,1.607604863,0.345118405,1.03
19/01/1965,9.233989159,0.320206821,1.05
20/01/1965,4.852183517,0.291265009,1.15
21/01/1965,4.970885371,0.288407469,1.16
22/01/1965,0.164716235,0.329974222,1.21
23/01/1965,4.612982145,0.392000434,1.3
24/01/1965,0.061283752,0.406294384,1.48
25/01/1965,0.087703989,0.33553193,1.47
26/01/1965,0.126815369,0.34377373,1.6
27/01/1965,0.049674584,0.325618741,1.7
28/01/1965,0.013902676,0.316669446,1.76
29/01/1965,0.001430263,0.318285846,1.77
30/01/1965,0.000291049,0.340859426,1.75
31/01/1965,0.00837424,0.38307582,1.73
01/02/1965,0.014926068,0.384536254,1.69
02/02/1965,0,0.410969456,1.63
03/02/1965,0.000191786,0.331899761,1.59
04/02/1965,0.172164915,0.372377884,1.53
05/02/1965,0.007182186,0.4774629,1.5
06/02/1965,0.125862545,0.516833519,1.49
07/02/1965,0.454369743,0.515437105,1.46
08/02/1965,0.048766233,0.540744974,1.44
09/02/1965,0.625065391,0.480185667,1.4
10/02/1965,0.002468662,0.512287249,1.4
11/02/1965,0.012336469,0.568923126,1.36
12/02/1965,0.983394919,0.588376967,1.35
13/02/1965,0.014444923,0.57016138,1.31
14/02/1965,0.000483952,0.473930053,1.28
15/02/1965,0.000451217,0.511271201,1.25
16/02/1965,0.247640174,0.603986635,1.21
17/02/1965,0.486672538,0.599220349,1.2
18/02/1965,2.242067311,0.460334077,1.18
19/02/1965,2.362230511,0.521321535,1.17
20/02/1965,0.393887516,0.502100191,1.17
21/02/1965,0.93597279,0.51609392,1.13
22/02/1965,0.443285338,0.57676717,1.12
23/02/1965,0.001592968,0.602520341,1.12
24/02/1965,0.061695743,0.62700222,1.08
25/02/1965,0.003259714,0.547983915,1.08
26/02/1965,0.003023249,0.627607101,1.06
27/02/1965,0.000460712,0.596114806,1.05
28/02/1965,0.147103403,0.627574494,1.04
01/03/1965,0.932305125,0.583234429,1.03
02/03/1965,4.87192041844827e-06,0.457906622,0.971
03/03/1965,6.286651315,0.444352738,0.951
04/03/1965,1.947056344,0.511904402,0.898
05/03/1965,0.033652932,0.581659456,0.912
06/03/1965,0.000791517,0.63870457,0.957
07/03/1965,0.003986744,0.606022747,0.929
08/03/1965,0,0.787623218,0.951
09/03/1965,6.92189331266704e-05,0.790750437,0.937
10/03/1965,0,0.809136906,0.926
11/03/1965,0.010767371,0.872580387,0.92
12/03/1965,0.719549408,1.024624455,0.878
13/03/1965,0.623114965,1.064329554,0.898
14/03/1965,0.230878071,1.122902173,0.892
15/03/1965,8.787419699,1.128077001,0.917
16/03/1965,0.061077617,1.139977857,0.937
17/03/1965,5.750340974,1.025027601,0.951
18/03/1965,1.806577231,1.12432952,0.966
19/03/1965,4.033580144,1.008229812,0.991
20/03/1965,15.30114388,0.991827462,1
21/03/1965,2.107949158,1.002426348,1.07
